neighbourhood_cleansed,neighbourhood_link,crime_rate,median_housing_cost
La Crescenta-Montrose,https://www.areavibes.com/la+crescenta-montrose-ca/?ll=34.23302+-118.23577,1529,857700
Rancho Palos Verdes,https://www.areavibes.com/rancho+palos+verdes-ca/?ll=33.75316+-118.36797,1136,1209200
Monterey Park,https://www.areavibes.com/monterey+park-ca/?ll=34.04833+-118.13319,2367,641700
Inglewood,https://www.areavibes.com/inglewood-ca/?ll=33.95607+-118.34428,3564,555000
Duarte,https://www.areavibes.com/duarte-ca/?ll=34.13945+-117.97729,2101,519700
Valley Glen,https://www.areavibes.com/los+angeles-ca/north+hollywood/?ll=34.18678+-118.41434&addr=valley+glen,3059,623486
Universal City,https://www.areavibes.com/los+angeles-ca/toluca+lake/?ll=34.14901+-118.35335,2923,890544
Vernon,https://www.areavibes.com/vernon-ca/?ll=34.00352+-118.21685&addr=vernon,368396,0
Northridge,https://www.areavibes.com/los+angeles-ca/northridge/?ll=34.24296+-118.52868,2740,622194
Carson,https://www.areavibes.com/carson-ca/?ll=33.84037+-118.24957,3218,494800
Boyle Heights,https://www.areavibes.com/los+angeles-ca/boyle+heights/?ll=34.03439+-118.20779,3053,472252
Downey,https://www.areavibes.com/downey-ca/?ll=33.93824+-118.13086,3111,582500
Sawtelle,https://www.areavibes.com/los+angeles-ca/sawtelle/?ll=34.04249+-118.45534,3025,807986
Azusa,https://www.areavibes.com/azusa-ca/?ll=34.13852+-117.91225,2364,438700
Huntington Park,https://www.areavibes.com/huntington+park-ca/?ll=33.97925+-118.21744,4584,426700
Palmdale,https://www.areavibes.com/palmdale-ca/?ll=34.59132+-118.109,2107,302800
Pacoima,https://www.areavibes.com/los+angeles-ca/pacoima/?ll=34.26827+-118.41705,2334,431452
Whittier,https://www.areavibes.com/whittier-ca/?ll=33.96683+-118.02012,3226,598000
Northeast Antelope Valley,https://www.areavibes.com/palmdale-ca/?ll=34.59132+-118.109,2107,302800
Willowbrook,https://www.areavibes.com/willowbrook-ca/?ll=33.91893+-118.23605,4507,357000
Glendora,https://www.areavibes.com/glendora-ca/?ll=34.14497+-117.84766,2559,637500
Manhattan Beach,https://www.areavibes.com/manhattan+beach-ca/?ll=33.88963+-118.39737,3128,2000001
Watts,https://www.areavibes.com/los+angeles-ca/watts/?ll=33.94169+-118.24152,4061,354525
